Cost Matl Unit,Cost Total Unit
27.86419,98.04843
27.84175,106.35926
27.84175,106.25858
27.78116,124.33336
27.78116,123.60423
27.78116,123.40256
27.75671,109.68746
27.75671,108.92935
27.70857,112.62557
27.42556,121.79778
27.1461,91.81934
27.1461,86.77319
27.12416,102.80801
26.96,26.96
26.92292,103.7235
26.92292,102.68917
26.92292,102.60677
26.80266,86.88322
26.80266,82.20662
26.77508,93.80439
26.77508,88.5657
26.67925,107.48453
26.66925,133.70099
26.5838,109.13507
26.5838,102.67183
26.36259,101.20259
26.26157,87.20522
26.26157,84.23156
26.19942,122.11466
26.18283,107.96558
26.12327,96.23415
26.09629,40.18381
25.96077,38.74355
25.85314,107.5246
25.83903,107.1694
25.8338,101.60005
25.8338,91.34322
25.8338,90.45767
25.8338,86.23085
25.8338,85.41728
25.81114,106.5698
25.71988,35.22626
25.68292,122.48233
25.68292,122.23512
25.66714,80.17345
25.59188,37.00999
25.59188,36.39922
25.59188,36.25541
25.59188,35.09826
25.52114,35.30015
25.47867,108.78646
25.47867,108.36499
25.47867,107.26142
25.41901,38.58846
25.39499,112.86352
25.39499,112.67556
25.39314,36.3293
25.39314,35.17215
25.38908,36.70855
25.35116,121.90336
25.34443,116.18496
25.32671,107.25746
25.286,107.85125
25.26831,98.95747
25.19711,36.90654
25.19629,36.6144
25.07988,36.39935
25.07988,34.80293
25,25
24.99705,36.70648
24.88102,36.481
24.88102,34.88458
24.8802,36.48018
24.79955,39.2699
24.76167,115.6022
24.66371,37.0455
24.63376,101.41353
24.60775,92.80627
24.568,96.44992
24.56051,98.86069
24.53712,35.33843
24.51063,109.6755
24.50885,101.76516
24.50319,113.05736
24.46403,37.15569
24.37232,37.24543
24.34556,120.58851
24.34556,118.71778
24.31297,102.28605
24.31297,96.49787
24.28508,101.70616
24.28508,95.96234
24.25,24.25
24.23414,116.31849
24.22591,100.22187
24.21873,103.26023
24.05995,114.15691
24.05995,112.1763
24.05995,111.29108
24.05995,110.30555
24.0529,34.97101
24.05211,34.97022
24.05211,34.85342
24.02864,38.58455
24.01472,34.23864
24.01472,34.13091
24.01472,33.67501
24.01472,33.57493
24.01472,32.81103
24.01472,32.71095
23.99609,94.51622
23.98947,96.88163
23.98472,107.32459
23.98472,107.1443
23.98472,94.50485
23.97826,110.24991
23.97826,110.04337
23.97826,96.87042
23.96602,105.24073
23.96552,33.8386
23.93699,114.65839
23.88643,115.24489
23.88643,114.72696
23.86375,114.58515
23.83508,82.06388
23.83508,77.5367
23.81031,100.31253
23.79391,114.07936
23.78999,36.22701
23.78999,35.76306
23.78999,35.56915
23.78556,120.02851
23.69559,122.73553
23.67104,33.89496
23.67104,33.78723
23.65632,33.63329
23.65632,33.5294
23.65632,32.64993
23.65632,32.54604
23.56572,92.26441
23.56572,88.91441
23.47487,121.05524
23.45942,34.67672
23.43933,106.8826
23.42037,34.51675
23.42037,34.51497
23.36448,92.06317
23.36448,88.71317
23.34344,33.58975
23.2534,34.5722
23.2534,33.49971
23.19446,91.94413
23.16888,38.89713
23.16888,38.77579
23.16853,39.33013
23.16742,39.62104
23.15756,126.75317
23.15246,97.35302
23.15246,96.83823
23.15246,91.61832
23.15246,91.09013
23.11942,120.90539
23.11942,119.03466
23.08975,116.01115
23.08975,113.3752
23.08975,113.18671
22.91691,34.13243
22.77071,123.77313
22.77071,120.35108
22.7707,121.45455
22.72642,115.66157
22.6899,77.75275
22.6899,76.76152
22.55246,87.90115
22.55246,81.17051
22.55246,78.30144
22.55246,76.61389
22.55246,73.97794
22.51057,108.84359
22.44514,34.763
22.4199,90.57544
22.41507,110.2553
22.37248,108.74611
22.37248,108.43759
22.37247,109.3597
22.34894,33.60875
22.34894,32.8184
22.25858,115.59538
22.05209,95.45312
22.05209,94.94425
22.04137,34.47839
22.04072,108.10583
22.04071,108.71941
21.80595,90.16872
21.79808,92.87308
21.79808,92.67868
21.79808,88.90206
21.42978,107.73475
21.42978,106.03803
21.42978,104.16728
21.25,21.25
21.15597,106.07297
21.14591,100.77473
21.14591,99.01261
21.14591,97.14187
21.13873,102.05095
21.13873,100.18023
21.06275,100.89087
21.06275,89.42552
21.05558,104.01244
21.05558,92.13058
21.01659,98.72563
20.90675,86.14358
20.90675,85.51614
20.8775,118.08965
20.8775,87.98148
20.84938,101.51022
20.84938,100.34018
20.745,21.25015
20.745,21.20112
20.745,21.18275
20.745,21.17182
20.745,21.15361
20.745,21.14849
20.74185,106.42471
20.74185,94.06041
20.73474,94.0533
20.71614,30.06154
20.7152,30.0606
20.69,20.69
20.58814,31.17067
20.58814,31.02686
20.58814,29.93354
20.5872,31.76884
20.5872,31.16973
20.5872,31.02592
20.5872,29.9326
20.54013,92.56466
20.54013,91.55121
20.53397,29.69552
20.53397,28.95439
20.53303,30.23167
20.53303,29.69458
20.53303,28.95345
20.436,27.91121
20.436,27.90505
20.436,27.828
20.436,27.29645
20.436,26.92889
20.436,20.86818
20.436,20.86282
20.436,20.81757
20.436,20.77721
20.35859,102.05301
20.35859,100.48028
20.35859,100.18671
20.35859,99.98741
20.35142,106.32906
20.35142,103.61814
20.35142,103.30828
20.35141,103.12529
20.35,20.35
20.30819,90.20724
20.25963,44.43496
20.25963,43.99094
20.25963,43.26352
20.25963,42.8195
20.25602,31.41084
20.25602,29.81442
20.2552,31.41002
20.2552,29.8136
20.23369,84.26264
20.23369,83.64649
20.21184,90.11089
20.1882,31.36984
20.18738,31.36902
20.18627,96.16013
20.18627,95.96421
20.18627,95.3991
20.18627,95.20131
20.18627,84.21522
20.18055,30.24395
20.17976,30.24316
20.12385,29.32083
20.12385,28.72947
20.12303,29.32001
20.12303,28.72865
20.10715,90.02127
20.10715,90.0062
20.08724,89.10075
20.03769,107.87792
20.03769,105.72055
20.00527,82.03638
20.00527,80.91964
19.95825,34.15471
19.92374,117.70971
19.92374,115.83898
19.90119,81.12634
19.90119,75.02467
19.83976,32.04167
19.80403,81.83514
19.80403,80.7184
19.76102,85.40248
19.76102,80.22246
19.71902,89.6876
19.71902,84.54848
19.71902,84.38894
19.71902,79.36846
19.71229,79.37072
19.71229,74.72887
19.68782,78.57754
19.68782,73.99736
19.64295,74.12638
19.53614,31.71254
19.48489,88.4984
19.41806,80.93543
19.38854,88.40205
19.26902,72.2134
19.26902,71.25696
19.26902,68.11424
19.26902,67.23556
19.26028,117.05681
19.25886,28.9575
19.25804,28.95668
19.2254,63.89372
19.2254,58.9982
19.16484,105.18246
19.12654,33.31225
19.11973,31.77191
19.10552,39.37132
19.10162,38.85016
19.10136,83.25322
19.10136,80.61873
19.08062,84.42217
19.06003,101.0937
19.06003,94.83797
19,19
18.99995,106.23108
18.98615,63.65447
18.98427,84.32582
18.9702,66.27961
18.92,18.92
18.88814,114.94715
18.87958,84.22113
18.87958,84.14417
18.83229,85.70943
18.77569,87.95138
18.77569,82.80464
18.77087,95.40181
18.7495,64.84229
18.72827,94.70213
18.72827,94.50621
18.70541,33.2894
18.69903,107.4763
18.65765,94.64464
18.61114,28.95173
18.61039,28.95098
18.5731,59.22794
18.56595,89.64095
18.5521,55.74711
18.5521,55.09176
18.5521,54.67311
18.4964,59.15124
18.4964,57.87559
18.49027,74.16978
18.49027,69.85048
18.44119,85.31833
18.44119,71.08041
18.32973,93.10755
18.25554,103.4799
18.23013,91.11193
18.23013,90.25466
18.23013,89.24121
18.17915,65.78053
